Country_A,Country_B
Germany,Belarus
Germany,Belgium
Germany,Bulgaria
Germany,China
Germany,Croatia
Germany,Denmark
Germany,France
Germany,Germany
Germany,Greece
Germany,Hungary
Germany,India
Germany,Italy
Germany,Kosovo
Germany,Luxembourg
Germany,Namibia
Germany,Netherlands
Germany,Norway
Germany,Poland
Germany,Russia
Germany,Serbia
Germany,Switzerland
Germany,Turkey
Germany,Ukraine
Iran,Afghanistan
Iran,Algeria
Iran,Armenia
Iran,Azerbaijan
Iran,Bahrain
Iran,Belarus
Iran,Canada
Iran,China
Iran,Egypt
Iran,France
Iran,Germany
Iran,India
Iran,Iran
Iran,Iraq
Iran,Israel
Iran,Italy
Iran,Japan
Iran,Kazakhstan
Iran,Kuwait
Iran,Lebanon
Iran,Netherlands
Iran,Oman
Iran,Pakistan
Iran,Qatar
Iran,Russia
Iran,Spain
Iran,Syria
Iran,Tajikistan
Iran,Tunisia
Iran,Turkey
Iran,Turkmenistan
Iran,Ukraine
Iran,Venezuela
Iran,Vietnam
Iran,Yemen
France,Algeria
France,Andorra
France,Argentina
France,Armenia
France,Australia
France,Austria
France,Belgium
France,Bulgaria
France,Canada
France,Chad
France,China
France,Germany
France,India
France,Israel
France,Italy
France,Japan
France,Luxembourg
France,Mali
France,Mexico
France,Monaco
France,Morocco
France,Norway
France,Poland
France,Portugal
France,Romania
France,Russia
France,Slovakia
France,Spain
France,Switzerland
France,Tunisia
France,Turkey
France,Ukraine
United Kingdom,Argentina
United Kingdom,Australia
United Kingdom,Bangladesh
United Kingdom,Belize
United Kingdom,Brunei
United Kingdom,Canada
United Kingdom,Cyprus
United Kingdom,Finland
United Kingdom,France
United Kingdom,Germany
United Kingdom,Gibraltar
United Kingdom,India
United Kingdom,Ireland
United Kingdom,Italy
United Kingdom,Kenya
United Kingdom,Nepal
United Kingdom,Nigeria
United Kingdom,Oman
United Kingdom,Pakistan
United Kingdom,Poland
United Kingdom,Russia
United Kingdom,Singapore
United Kingdom,Spain
Thailand,Afghanistan
Thailand,Australia
Thailand,Bahrain
Thailand,Brunei
Thailand,Cambodia
Thailand,China
Thailand,France
Thailand,Germany
Thailand,India
Thailand,Indonesia
Thailand,Iraq
Thailand,Israel
Thailand,Japan
Thailand,Laos
Thailand,Malaysia
Thailand,Myanmar
Thailand,Nepal
Thailand,Russia
Thailand,Singapore
Thailand,Thailand
Thailand,Vietnam
South Africa,Angola
South Africa,Argentina
South Africa,Bolivia
South Africa,Botswana
South Africa,Brazil
South Africa,Burundi
South Africa,Canada
South Africa,China
South Africa,Comoros
South Africa,Egypt
South Africa,Eritrea
South Africa,Eswatini
South Africa,Ethiopia
South Africa,Germany
South Africa,India
South Africa,Indonesia
South Africa,Israel
South Africa,Italy
South Africa,Japan
South Africa,Lesotho
South Africa,Liberia
South Africa,Madagascar
South Africa,Morocco
South Africa,Mozambique
South Africa,Namibia
South Africa,Niger
South Africa,Nigeria
South Africa,Russia
South Africa,Rwanda
South Africa,Somalia
South Africa,Tanzania
South Africa,Zimbabwe
Tanzania,Botswana
Tanzania,Burundi
Tanzania,Chad
Tanzania,China
Tanzania,Egypt
Tanzania,Ethiopia
Tanzania,Germany
Tanzania,Ghana
Tanzania,India
Tanzania,Iraq
Tanzania,Japan
Tanzania,Kenya
Tanzania,Lesotho
Tanzania,Liberia
Tanzania,Madagascar
Tanzania,Malawi
Tanzania,Mali
Tanzania,Mozambique
Tanzania,Namibia
Tanzania,Niger
Tanzania,Nigeria
Tanzania,Oman
Tanzania,Rwanda
Tanzania,Somalia
Tanzania,Sudan
Tanzania,Switzerland
Tanzania,Tanzania
Tanzania,Uganda
Tanzania,Vietnam
Tanzania,Zambia
Tanzania,Zimbabwe
Italy,Afghanistan
Italy,Albania
Italy,Argentina
Italy,Australia
Italy,Austria
Italy,Belgium
Italy,Brazil
Italy,Canada
Italy,China
Italy,Croatia
Italy,Cyprus
Italy,Egypt
Italy,France
Italy,Germany
Italy,Greece
Italy,Hungary
Italy,Japan
Italy,Kosovo
Italy,Lebanon
Italy,Malta
Italy,Montenegro
Italy,Morocco
Italy,Poland
Italy,Portugal
Italy,Romania
Italy,Russia
Italy,Slovenia
Italy,Spain
Italy,Switzerland
Italy,Tunisia
Italy,Ukraine
Myanmar,Afghanistan
Myanmar,Australia
Myanmar,Bangladesh
Myanmar,Canada
Myanmar,China
Myanmar,Germany
Myanmar,India
Myanmar,Japan
Myanmar,Laos
Myanmar,Malaysia
Myanmar,Myanmar
Myanmar,Nepal
Myanmar,Norway
Myanmar,Pakistan
Myanmar,Philippines
Myanmar,Qatar
Myanmar,Russia
Myanmar,Singapore
Myanmar,Switzerland
Myanmar,Syria
Myanmar,Taiwan
Myanmar,Thailand
Myanmar,Vietnam
Colombia,Argentina
Colombia,Brazil
Colombia,Colombia
Colombia,Cuba
Colombia,Dominica
Colombia,Ecuador
Colombia,France
Colombia,Guatemala
Colombia,Guyana
Colombia,Haiti
Colombia,Honduras
Colombia,Jamaica
Colombia,Mexico
Colombia,Nicaragua
Colombia,Panama
Colombia,Peru
Colombia,Venezuela
Kenya,Australia
Kenya,Bahrain
Kenya,Cameroon
Kenya,Ethiopia
Kenya,Fiji
Kenya,France
Kenya,Germany
Kenya,India
Kenya,Kenya
Kenya,Madagascar
Kenya,Mali
Kenya,Morocco
Kenya,Niger
Kenya,Nigeria
Kenya,Oman
Kenya,Qatar
Kenya,Singapore
Kenya,Somalia
Kenya,Sudan
Kenya,Tanzania
Kenya,Uganda
Kenya,Zambia
South Korea,Argentina
South Korea,Australia
South Korea,Bangladesh
South Korea,Canada
South Korea,China
South Korea,France
South Korea,Germany
South Korea,Iraq
South Korea,Israel
South Korea,Japan
South Korea,Jordan
South Korea,Mexico
South Korea,Pakistan
South Korea,Philippines
South Korea,Russia
South Korea,Singapore
South Korea,Taiwan
South Korea,Thailand
South Korea,Turkey
South Korea,Vietnam
Spain,Andorra
Spain,Belgium
Spain,Bulgaria
Spain,Cyprus
Spain,Denmark
Spain,France
Spain,Germany
Spain,Gibraltar
Spain,Italy
Spain,Japan
Spain,Luxembourg
Spain,Mexico
Spain,Morocco
Spain,Netherlands
Spain,Norway
Spain,Philippines
Spain,Portugal
Spain,Romania
Spain,Russia
Spain,Slovenia
Spain,Spain
Spain,Switzerland
Argentina,Algeria
Argentina,Argentina
Argentina,Australia
Argentina,Belgium
Argentina,Bolivia
Argentina,Brazil
Argentina,Canada
Argentina,Chile
Argentina,China
Argentina,Croatia
Argentina,Cuba
Argentina,Cyprus
Argentina,Denmark
Argentina,Dominica
Argentina,Ecuador
Argentina,Egypt
Argentina,France
Argentina,Haiti
Argentina,Iran
Argentina,Italy
Argentina,Japan
Argentina,Kosovo
Argentina,Mexico
Argentina,Netherlands
Argentina,Paraguay
Argentina,Peru
Argentina,Philippines
Argentina,Romania
Argentina,Russia
Argentina,Syria
Argentina,Ukraine
Argentina,Uruguay
Argentina,Venezuela
Uganda,Afghanistan
Uganda,Burundi
Uganda,Canada
Uganda,Djibouti
Uganda,Egypt
Uganda,India
Uganda,Kenya
Uganda,Madagascar
Uganda,Niger
Uganda,Nigeria
Uganda,Rwanda
Uganda,Somalia
Uganda,Sudan
Uganda,Tanzania
Uganda,Uganda
Algeria,Algeria
Algeria,Chad
Algeria,Egypt
Algeria,France
Algeria,Italy
Algeria,Jordan
Algeria,Lebanon
Algeria,Libya
Algeria,Mali
Algeria,Malta
Algeria,Mauritania
Algeria,Morocco
Algeria,Niger
Algeria,Nigeria
Algeria,Portugal
Algeria,Russia
Algeria,Spain
Algeria,Sudan
Algeria,Syria
Algeria,Tunisia
Algeria,Turkey
Algeria,Yemen
Iraq,Armenia
Iraq,Australia
Iraq,Bahrain
Iraq,Chad
Iraq,Cyprus
Iraq,Egypt
Iraq,Germany
Iraq,India
Iraq,Iran
Iraq,Iraq
Iraq,Israel
Iraq,Jordan
Iraq,Kuwait
Iraq,Mali
Iraq,Qatar
Iraq,Sudan
Iraq,Syria
Iraq,Turkey
Iraq,Venezuela
Sudan,Algeria
Sudan,Chad
Sudan,Egypt
Sudan,Eritrea
Sudan,Ethiopia
Sudan,Iran
Sudan,Iraq
Sudan,Kenya
Sudan,Libya
Sudan,Nigeria
Sudan,Senegal
Sudan,Sudan
Sudan,Syria
Sudan,Tanzania
Sudan,Uganda
Canada,Australia
Canada,France
Canada,India
Canada,Mexico
Canada,Russia
Canada,Somalia
Poland,Austria
Poland,Belarus
Poland,Croatia
Poland,Denmark
Poland,France
Poland,Germany
Poland,Hungary
Poland,Italy
Poland,Lithuania
Poland,Netherlands
Poland,Poland
Poland,Russia
Poland,Slovakia
Poland,Sweden
Poland,Ukraine
Morocco,Algeria
Morocco,Belgium
Morocco,Canada
Morocco,Cuba
Morocco,Egypt
Morocco,France
Morocco,Gibraltar
Morocco,Guinea
Morocco,India
Morocco,Iran
Morocco,Israel
Morocco,Italy
Morocco,Madagascar
Morocco,Mauritania
Morocco,Mexico
Morocco,Morocco
Morocco,Pakistan
Morocco,Portugal
Morocco,Qatar
Morocco,Spain
Morocco,Tunisia
Morocco,Turkey
Ukraine,Armenia
Ukraine,Austria
Ukraine,Belarus
Ukraine,Brazil
Ukraine,Bulgaria
Ukraine,Canada
Ukraine,Eritrea
Ukraine,Germany
Ukraine,Hungary
Ukraine,Italy
Ukraine,Kosovo
Ukraine,Lithuania
Ukraine,Moldova
Ukraine,Netherlands
Ukraine,Poland
Ukraine,Romania
Ukraine,Russia
Ukraine,Slovakia
Ukraine,Somalia
Ukraine,Ukraine
Uzbekistan,Afghanistan
Uzbekistan,Armenia
Uzbekistan,Azerbaijan
Uzbekistan,China
Uzbekistan,Germany
Uzbekistan,India
Uzbekistan,Iran
Uzbekistan,Israel
Uzbekistan,Japan
Uzbekistan,Kazakhstan
Uzbekistan,Kyrgyzstan
Uzbekistan,Liechtenstein
Uzbekistan,Moldova
Uzbekistan,Pakistan
Uzbekistan,Russia
Uzbekistan,Singapore
Uzbekistan,Tajikistan
Uzbekistan,Turkey
Uzbekistan,Turkmenistan
Uzbekistan,Ukraine
Uzbekistan,Uzbekistan
Afghanistan,Afghanistan
Afghanistan,Australia
Afghanistan,Bolivia
Afghanistan,Cambodia
Afghanistan,China
Afghanistan,Egypt
Afghanistan,India
Afghanistan,Iran
Afghanistan,Israel
Afghanistan,Kazakhstan
Afghanistan,Kyrgyzstan
Afghanistan,Myanmar
Afghanistan,Nepal
Afghanistan,Pakistan
Afghanistan,Qatar
Afghanistan,Russia
Afghanistan,Tajikistan
Afghanistan,Turkey
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Angola,Angola
Angola,Brazil
Angola,Cuba
Angola,France
Angola,Gabon
Angola,Ghana
Angola,Guinea
Angola,India
Angola,Lebanon
Angola,Mali
Angola,Morocco
Angola,Mozambique
Angola,Namibia
Angola,Niger
Angola,Nigeria
Angola,Portugal
Angola,Spain
Angola,Togo
Angola,Zambia
Angola,Zimbabwe
Peru,Argentina
Peru,Bolivia
Peru,Brazil
Peru,Chile
Peru,Colombia
Peru,Ecuador
Peru,France
Peru,Panama
Peru,Peru
Peru,Uruguay
Peru,Venezuela
Malaysia,Australia
Malaysia,Brunei
Malaysia,Cambodia
Malaysia,China
Malaysia,India
Malaysia,Indonesia
Malaysia,Iran
Malaysia,Iraq
Malaysia,Japan
Malaysia,Lebanon
Malaysia,Malaysia
Malaysia,Micronesia
Malaysia,Namibia
Malaysia,Philippines
Malaysia,Singapore
Malaysia,Somalia
Malaysia,Thailand
Malaysia,Vietnam
Mozambique,Angola
Mozambique,Botswana
Mozambique,Brazil
Mozambique,Comoros
Mozambique,Cuba
Mozambique,Denmark
Mozambique,Egypt
Mozambique,Eswatini
Mozambique,Ethiopia
Mozambique,Finland
Mozambique,Guinea
Mozambique,Iceland
Mozambique,India
Mozambique,Italy
Mozambique,Kenya
Mozambique,Madagascar
Mozambique,Malawi
Mozambique,Mali
Mozambique,Mozambique
Mozambique,Netherlands
Mozambique,Norway
Mozambique,Oman
Mozambique,Pakistan
Mozambique,Portugal
Mozambique,Somalia
Mozambique,Tanzania
Mozambique,Tonga
Mozambique,Zambia
Mozambique,Zimbabwe
Saudi Arabia,Bahrain
Saudi Arabia,Bangladesh
Saudi Arabia,China
Saudi Arabia,Egypt
Saudi Arabia,Ethiopia
Saudi Arabia,France
Saudi Arabia,India
Saudi Arabia,Indonesia
Saudi Arabia,Iran
Saudi Arabia,Iraq
Saudi Arabia,Israel
Saudi Arabia,Jordan
Saudi Arabia,Kuwait
Saudi Arabia,Mali
Saudi Arabia,Morocco
Saudi Arabia,Oman
Saudi Arabia,Pakistan
Saudi Arabia,Qatar
Saudi Arabia,Somalia
Saudi Arabia,Sudan
Saudi Arabia,Syria
Saudi Arabia,Yemen
Yemen,Algeria
Yemen,Australia
Yemen,Bahrain
Yemen,China
Yemen,Djibouti
Yemen,Egypt
Yemen,Eritrea
Yemen,Ethiopia
Yemen,India
Yemen,Indonesia
Yemen,Iran
Yemen,Iraq
Yemen,Israel
Yemen,Jordan
Yemen,Kuwait
Yemen,Malaysia
Yemen,Mali
Yemen,Mauritania
Yemen,Morocco
Yemen,Myanmar
Yemen,Oman
Yemen,Pakistan
Yemen,Portugal
Yemen,Qatar
Yemen,Singapore
Yemen,Somalia
Yemen,Sudan
Yemen,Syria
Yemen,Thailand
Yemen,Yemen
Ghana,Benin
Ghana,Chile
Ghana,Colombia
Ghana,Ecuador
Ghana,Ghana
Ghana,Guinea
Ghana,India
Ghana,Indonesia
Ghana,Malaysia
Ghana,Mali
Ghana,Niger
Ghana,Nigeria
Ghana,Sudan
Ghana,Togo
Ivory Coast,Angola
Ivory Coast,Belgium
Ivory Coast,Benin
Ivory Coast,Canada
Ivory Coast,France
Ivory Coast,Ghana
Ivory Coast,Guinea
Ivory Coast,Kenya
Ivory Coast,Liberia
Ivory Coast,Mali
Ivory Coast,Mauritania
Ivory Coast,Niger
Ivory Coast,Nigeria
Ivory Coast,Senegal
Ivory Coast,Sudan
Ivory Coast,Togo
Ivory Coast,Vietnam
Nepal,Afghanistan
Nepal,Bangladesh
Nepal,Bhutan
Nepal,China
Nepal,India
Nepal,Iraq
Nepal,Israel
Nepal,Japan
Nepal,Myanmar
Nepal,Nepal
Nepal,Pakistan
Nepal,Singapore
Venezuela,Argentina
Venezuela,Bolivia
Venezuela,Brazil
Venezuela,Canada
Venezuela,Chile
Venezuela,Colombia
Venezuela,Dominica
Venezuela,Ecuador
Venezuela,France
Venezuela,Grenada
Venezuela,Guyana
Venezuela,Haiti
Venezuela,India
Venezuela,Nicaragua
Venezuela,Panama
Venezuela,Spain
Venezuela,Syria
Venezuela,Venezuela
Venezuela,Zimbabwe
Cameroon,Algeria
Cameroon,Cameroon
Cameroon,Chad
Cameroon,China
Cameroon,France
Cameroon,Gabon
Cameroon,Guinea
Cameroon,Malaysia
Cameroon,Niger
Cameroon,Nigeria
Cameroon,Sudan
Madagascar,Algeria
Madagascar,Australia
Madagascar,Comoros
Madagascar,France
Madagascar,Iceland
Madagascar,India
Madagascar,Indonesia
Madagascar,Iran
Madagascar,Israel
Madagascar,Madagascar
Madagascar,Mali
Madagascar,Mauritius
Madagascar,Mozambique
Madagascar,Pakistan
Madagascar,Somalia
Australia,Australia
Australia,Canada
Australia,China
Australia,Germany
Australia,India
Australia,Indonesia
Australia,Japan
Australia,Kiribati
Australia,Luxembourg
Australia,Malaysia
Australia,Nauru
Australia,Singapore
Australia,Sudan
Australia,Thailand
North Korea,Argentina
North Korea,Chad
North Korea,China
North Korea,Estonia
North Korea,India
North Korea,Israel
North Korea,Japan
North Korea,Laos
North Korea,Namibia
North Korea,Russia
North Korea,Senegal
North Korea,Taiwan
North Korea,Vietnam
Niger,Algeria
Niger,Belgium
Niger,Benin
Niger,Cameroon
Niger,Canada
Niger,Chad
Niger,Egypt
Niger,France
Niger,Ghana
Niger,Guinea
Niger,Kazakhstan
Niger,Libya
Niger,Mali
Niger,Morocco
Niger,Niger
Niger,Nigeria
Niger,Russia
Niger,Senegal
Niger,Sudan
Niger,Switzerland
Taiwan,China
Taiwan,India
Taiwan,Indonesia
Taiwan,Israel
Taiwan,Japan
Taiwan,Mongolia
Taiwan,Philippines
Taiwan,Singapore
Taiwan,Taiwan
Taiwan,Thailand
Syria,Albania
Syria,Algeria
Syria,Armenia
Syria,Brazil
Syria,China
Syria,Comoros
Syria,Cyprus
Syria,Egypt
Syria,France
Syria,Iran
Syria,Iraq
Syria,Israel
Syria,Italy
Syria,Jordan
Syria,Lebanon
Syria,Libya
Syria,Malta
Syria,Morocco
Syria,Portugal
Syria,Russia
Syria,Senegal
Syria,Somalia
Syria,Spain
Syria,Sudan
Syria,Syria
Syria,Tunisia
Syria,Turkey
Syria,Yemen
Burkina Faso,Benin
Burkina Faso,France
Burkina Faso,Ghana
Burkina Faso,Guinea
Burkina Faso,Liberia
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Nigeria
Burkina Faso,Senegal
Burkina Faso,Sudan
Burkina Faso,Togo
Mali,Algeria
Mali,Angola
Mali,Chad
Mali,France
Mali,Ghana
Mali,Guinea
Mali,Liberia
Mali,Mali
Mali,Mauritania
Mali,Niger
Mali,Russia
Mali,Senegal
Mali,Sudan
Sri Lanka,Australia
Sri Lanka,Bangladesh
Sri Lanka,Cambodia
Sri Lanka,China
Sri Lanka,France
Sri Lanka,India
Sri Lanka,Indonesia
Sri Lanka,Israel
Sri Lanka,Japan
Sri Lanka,Laos
Sri Lanka,Lebanon
Sri Lanka,Maldives
Sri Lanka,Pakistan
Sri Lanka,Philippines
Sri Lanka,Russia
Sri Lanka,Singapore
Sri Lanka,Thailand
Malawi,Canada
Malawi,Egypt
Malawi,Ghana
Malawi,India
Malawi,Malawi
Malawi,Mozambique
Malawi,Rwanda
Malawi,Tanzania
Malawi,Tonga
Malawi,Zambia
Malawi,Zimbabwe
Kazakhstan,Angola
Kazakhstan,Argentina
Kazakhstan,Armenia
Kazakhstan,Australia
Kazakhstan,Azerbaijan
Kazakhstan,Bangladesh
Kazakhstan,Belarus
Kazakhstan,Bolivia
Kazakhstan,Brazil
Kazakhstan,China
Kazakhstan,Cuba
Kazakhstan,Ecuador
Kazakhstan,Germany
Kazakhstan,Greece
Kazakhstan,India
Kazakhstan,Iran
Kazakhstan,Iraq
Kazakhstan,Japan
Kazakhstan,Kazakhstan
Kazakhstan,Kenya
Kazakhstan,Kyrgyzstan
Kazakhstan,Libya
Kazakhstan,Lithuania
Kazakhstan,Mexico
Kazakhstan,Moldova
Kazakhstan,Mongolia
Kazakhstan,Montenegro
Kazakhstan,Nepal
Kazakhstan,Pakistan
Kazakhstan,Philippines
Kazakhstan,Russia
Kazakhstan,Serbia
Kazakhstan,Switzerland
Kazakhstan,Tajikistan
Kazakhstan,Turkey
Kazakhstan,Turkmenistan
Kazakhstan,Ukraine
Kazakhstan,Uzbekistan
Chile,Argentina
Chile,Australia
Chile,Bolivia
Chile,Brazil
Chile,Canada
Chile,Chile
Chile,Colombia
Chile,Croatia
Chile,Cuba
Chile,Ecuador
Chile,France
Chile,Haiti
Chile,Mexico
Chile,Nicaragua
Chile,Panama
Chile,Peru
Chile,Philippines
Chile,Spain
Chile,Uruguay
Chile,Venezuela
Zambia,Angola
Zambia,Australia
Zambia,Botswana
Zambia,Cameroon
Zambia,Gabon
Zambia,India
Zambia,Jamaica
Zambia,Malawi
Zambia,Mozambique
Zambia,Namibia
Zambia,Niger
Zambia,Nigeria
Zambia,Rwanda
Zambia,Tanzania
Zambia,Tonga
Zambia,Zambia
Zambia,Zimbabwe
Romania,Austria
Romania,Belgium
Romania,Bulgaria
Romania,Croatia
Romania,Egypt
Romania,France
Romania,Germany
Romania,Hungary
Romania,Italy
Romania,Moldova
Romania,Norway
Romania,Romania
Romania,Russia
Romania,Serbia
Romania,Spain
Romania,Transnistria
Romania,Turkey
Romania,Ukraine
Senegal,Belize
Senegal,Cameroon
Senegal,Chad
Senegal,Egypt
Senegal,France
Senegal,Gambia
Senegal,Germany
Senegal,Ghana
Senegal,Guinea
Senegal,Guinea-Bissau
Senegal,India
Senegal,Iran
Senegal,Japan
Senegal,Kuwait
Senegal,Mali
Senegal,Mauritania
Senegal,Morocco
Senegal,Niger
Senegal,Portugal
